url,primary_category,secondary_category,product_category
https://www.bigbasket.com/pc/snacks-branded-foods/spreads-sauces-ketchup/mayonnaise/,snacks-branded-foods,spreads-sauces-ketchup,mayonnaise
https://www.bigbasket.com/pc/snacks-branded-foods/spreads-sauces-ketchup/tomato-ketchup-sauces/,snacks-branded-foods,spreads-sauces-ketchup,tomato-ketchup-sauces
https://www.bigbasket.com/pc/snacks-branded-foods/spreads-sauces-ketchup/jam-conserve-marmalade/,snacks-branded-foods,spreads-sauces-ketchup,jam-conserve-marmalade
https://www.bigbasket.com/pc/snacks-branded-foods/spreads-sauces-ketchup/chilli-soya-sauce/,snacks-branded-foods,spreads-sauces-ketchup,chilli-soya-sauce
https://www.bigbasket.com/pc/snacks-branded-foods/spreads-sauces-ketchup/choco-nut-spread/,snacks-branded-foods,spreads-sauces-ketchup,choco-nut-spread
https://www.bigbasket.com/pc/snacks-branded-foods/spreads-sauces-ketchup/vinegar/,snacks-branded-foods,spreads-sauces-ketchup,vinegar
https://www.bigbasket.com/pc/snacks-branded-foods/spreads-sauces-ketchup/dips-dressings/,snacks-branded-foods,spreads-sauces-ketchup,dips-dressings
https://www.bigbasket.com/pc/snacks-branded-foods/ready-to-cook-eat/breakfast-snack-mixes/,snacks-branded-foods,ready-to-cook-eat,breakfast-snack-mixes
https://www.bigbasket.com/pc/snacks-branded-foods/ready-to-cook-eat/soups/,snacks-branded-foods,ready-to-cook-eat,soups
https://www.bigbasket.com/pc/snacks-branded-foods/ready-to-cook-eat/home-baking/,snacks-branded-foods,ready-to-cook-eat,home-baking
https://www.bigbasket.com/pc/snacks-branded-foods/ready-to-cook-eat/papads-ready-to-fry/,snacks-branded-foods,ready-to-cook-eat,papads-ready-to-fry
https://www.bigbasket.com/pc/snacks-branded-foods/ready-to-cook-eat/heat-eat-ready-meals/,snacks-branded-foods,ready-to-cook-eat,heat-eat-ready-meals
https://www.bigbasket.com/pc/snacks-branded-foods/ready-to-cook-eat/dessert-mixes/,snacks-branded-foods,ready-to-cook-eat,dessert-mixes
https://www.bigbasket.com/pc/snacks-branded-foods/ready-to-cook-eat/canned-food/,snacks-branded-foods,ready-to-cook-eat,canned-food
https://www.bigbasket.com/pc/snacks-branded-foods/chocolates-candies/chocolates/,snacks-branded-foods,chocolates-candies,chocolates
https://www.bigbasket.com/pc/snacks-branded-foods/chocolates-candies/toffee-candy-lollypop/,snacks-branded-foods,chocolates-candies,toffee-candy-lollypop
https://www.bigbasket.com/pc/snacks-branded-foods/chocolates-candies/mints-chewing-gum/,snacks-branded-foods,chocolates-candies,mints-chewing-gum
https://www.bigbasket.com/pc/snacks-branded-foods/chocolates-candies/gift-boxes/,snacks-branded-foods,chocolates-candies,gift-boxes
https://www.bigbasket.com/pc/snacks-branded-foods/pickles-chutney/chutney-powder/,snacks-branded-foods,pickles-chutney,chutney-powder
https://www.bigbasket.com/pc/snacks-branded-foods/pickles-chutney/lime-mango-pickle/,snacks-branded-foods,pickles-chutney,lime-mango-pickle
